sample_id,subject_id,volume_id,plane,slice_index,retain_ratio,mask_id,method,psnr,ssim
sag_20_0,subj_0,vol_0,Sagittal,0,0.2,mask_sag_20_0,zero_filled,22.0,0.62
sag_20_0,subj_0,vol_0,Sagittal,0,0.2,mask_sag_20_0,resunet,23.0,0.67
sag_20_0,subj_0,vol_0,Sagittal,0,0.2,mask_sag_20_0,resunet_data_consistency,24.0,0.72
sag_20_1,subj_1,vol_1,Sagittal,1,0.2,mask_sag_20_1,zero_filled,23.0,0.63
sag_20_1,subj_1,vol_1,Sagittal,1,0.2,mask_sag_20_1,resunet,24.0,0.68
sag_20_1,subj_1,vol_1,Sagittal,1,0.2,mask_sag_20_1,resunet_data_consistency,25.0,0.73
sag_20_2,subj_2,vol_2,Sagittal,2,0.2,mask_sag_20_2,zero_filled,24.0,0.64
sag_20_2,subj_2,vol_2,Sagittal,2,0.2,mask_sag_20_2,resunet,25.0,0.6900000000000001
sag_20_2,subj_2,vol_2,Sagittal,2,0.2,mask_sag_20_2,resunet_data_consistency,26.0,0.74
sag_30_0,subj_0,vol_0,Sagittal,0,0.3,mask_sag_30_0,zero_filled,23.0,0.63
sag_30_0,subj_0,vol_0,Sagittal,0,0.3,mask_sag_30_0,resunet,24.0,0.68
sag_30_0,subj_0,vol_0,Sagittal,0,0.3,mask_sag_30_0,resunet_data_consistency,25.0,0.73
sag_30_1,subj_1,vol_1,Sagittal,1,0.3,mask_sag_30_1,zero_filled,24.0,0.64
sag_30_1,subj_1,vol_1,Sagittal,1,0.3,mask_sag_30_1,resunet,25.0,0.6900000000000001
sag_30_1,subj_1,vol_1,Sagittal,1,0.3,mask_sag_30_1,resunet_data_consistency,26.0,0.74
sag_30_2,subj_2,vol_2,Sagittal,2,0.3,mask_sag_30_2,zero_filled,25.0,0.65
sag_30_2,subj_2,vol_2,Sagittal,2,0.3,mask_sag_30_2,resunet,26.0,0.7000000000000001
sag_30_2,subj_2,vol_2,Sagittal,2,0.3,mask_sag_30_2,resunet_data_consistency,27.0,0.75
sag_50_0,subj_0,vol_0,Sagittal,0,0.5,mask_sag_50_0,zero_filled,25.0,0.65
sag_50_0,subj_0,vol_0,Sagittal,0,0.5,mask_sag_50_0,resunet,26.0,0.7000000000000001
sag_50_0,subj_0,vol_0,Sagittal,0,0.5,mask_sag_50_0,resunet_data_consistency,27.0,0.75
sag_50_1,subj_1,vol_1,Sagittal,1,0.5,mask_sag_50_1,zero_filled,26.0,0.66
sag_50_1,subj_1,vol_1,Sagittal,1,0.5,mask_sag_50_1,resunet,27.0,0.7100000000000001
